Body Frame,Type of Hair,Color of Hair,Skin,Complexion,Body Weight,Nails,Size and Color of the Teeth,Pace of Performing Work,Mental Activity,Memory,Sleep Pattern,Weather Conditions,Reaction under Adverse Situations,Mood,Eating Habit,Hunger,Body Temperature,Joints,Nature,Body Energy,Quality of Voice,Dreams,Social Relations,Body Odor,Dosha
Thin and Lean,Dry,Black,"Dry,Rough",Glowing,Underweight,Redish,"Large,White",Medium,Aggressive,Long Term,Moderate,Dislike Heat,Anxiety,Constant,Improper Chewing,Irregular,More than Normal,Weak,"Egoistic,Fearless",Medium,Fast,Sky,Introvert,Mild,Pitta
Thin and Lean,Normal,Grey,"Dry,Rough",Pinkish,Overweight,Blackish,"Medium,Yellowish",Medium,Restless,Long Term,Moderate,Dislike Moist,Anxiety,Changes Quickly,Irregular Chewing,Skips Meal,Normal,Heavy,"Jealous,Fearful",Low,Fast,Fire,Introvert,Negligible,Pitta
Medium,Dry,Brown,"Dry,Rough",Glowing,Overweight,Redish,"Medium,Yellowish",Medium,Aggressive,Good Memory,Moderate,Dislike Heat,Calm,Changes Slowly,Proper Chewing,Skips Meal,Less than Normal,Weak,"Egoistic,Fearless",Medium,Fast,Water,Introvert,Mild,Pitta
Thin and Lean,Normal,Brown,"Soft,Sweating",Pinkish,Overweight,Redish,"Irregular,Blackish",Medium,Aggressive,Good Memory,Sleepy,Dislike Heat,Calm,Changes Quickly,Improper Chewing,Skips Meal,Less than Normal,Heavy,"Egoistic,Fearless",High,Deep,Sky,Introvert,Negligible,Kapha
Medium,Dry,Brown,"Dry,Rough",Glowing,Underweight,Redish,"Irregular,Blackish",Fast,Stable,Short term,Moderate,Dislike Cold,Anger,Changes Slowly,Irregular Chewing,Sudden and Sharp,Normal,Weak,"Egoistic,Fearless",Medium,Fast,Fire,Ambivert,Strong,Pitta
Thin and Lean,Normal,Grey,"Soft,Sweating",Glowing,Normal,Redish,"Large,White",Medium,Restless,Good Memory,Moderate,Dislike Moist,Anger,Changes Quickly,Improper Chewing,Skips Meal,Normal,Weak,"Jealous,Fearful",High,Deep,Fire,Introvert,Negligible,Pitta
Thin and Lean,Dry,Brown,"Soft,Sweating",Glowing,Overweight,Blackish,"Irregular,Blackish",Slow,Restless,Short term,Moderate,Dislike Heat,Anger,Constant,Improper Chewing,Irregular,Normal,Heavy,"Forgiving,Grateful",Low,Deep,Water,Introvert,Mild,Kapha
Well Built,Normal,Grey,"Dry,Rough",Pinkish,Underweight,Pinkish,"Large,White",Slow,Stable,Short term,Moderate,Dislike Cold,Calm,Changes Quickly,Irregular Chewing,Skips Meal,Normal,Weak,"Jealous,Fearful",Medium,Fast,Water,Extrovert,Mild,Kapha
Well Built,Normal,Black,"Soft,Sweating",Glowing,Normal,Redish,"Medium,Yellowish",Slow,Stable,Short term,Sleepy,Dislike Cold,Anxiety,Changes Slowly,Improper Chewing,Sudden and Sharp,More than Normal,Healthy,"Jealous,Fearful",Medium,Rough,Fire,Ambivert,Negligible,Kapha
Medium,Normal,Black,"Soft,Sweating",Pinkish,Normal,Redish,"Large,White",Medium,Stable,Good Memory,Sleepy,Dislike Moist,Anxiety,Changes Quickly,Irregular Chewing,Sudden and Sharp,Normal,Heavy,"Jealous,Fearful",Low,Fast,Fire,Introvert,Strong,Kapha
Thin and Lean,Greasy,Black,"Moist,Greasy",Glowing,Normal,Redish,"Irregular,Blackish",Medium,Aggressive,Good Memory,Moderate,Dislike Moist,Anger,Changes Quickly,Proper Chewing,Sudden and Sharp,Normal,Weak,"Forgiving,Grateful",Medium,Deep,Sky,Ambivert,Negligible,Pitta
Well Built,Normal,Black,"Moist,Greasy",Dark,Underweight,Pinkish,"Irregular,Blackish",Medium,Aggressive,Long Term,Sleepy,Dislike Moist,Calm,Changes Slowly,Improper Chewing,Sudden and Sharp,More than Normal,Healthy,"Jealous,Fearful",Low,Deep,Water,Ambivert,Negligible,Pitta
Thin and Lean,Greasy,Black,"Dry,Rough",Pinkish,Normal,Redish,"Medium,Yellowish",Slow,Restless,Good Memory,Moderate,Dislike Moist,Calm,Changes Slowly,Irregular Chewing,Sudden and Sharp,More than Normal,Heavy,"Egoistic,Fearless",Medium,Rough,Sky,Extrovert,Negligible,Kapha
Thin and Lean,Greasy,Black,"Moist,Greasy",Pinkish,Normal,Redish,"Large,White",Medium,Aggressive,Good Memory,Moderate,Dislike Cold,Anxiety,Changes Quickly,Improper Chewing,Irregular,Normal,Heavy,"Jealous,Fearful",Medium,Fast,Fire,Ambivert,Mild,Pitta
Medium,Normal,Black,"Moist,Greasy",Pinkish,Underweight,Blackish,"Medium,Yellowish",Fast,Restless,Short term,Moderate,Dislike Cold,Anxiety,Changes Quickly,Irregular Chewing,Sudden and Sharp,Normal,Heavy,"Forgiving,Grateful",Medium,Deep,Sky,Extrovert,Strong,Pitta
Well Built,Dry,Grey,"Moist,Greasy",Pinkish,Overweight,Blackish,"Large,White",Fast,Stable,Short term,Sleepy,Dislike Heat,Anxiety,Changes Slowly,Proper Chewing,Irregular,Normal,Healthy,"Forgiving,Grateful",Medium,Rough,Sky,Extrovert,Mild,Vata
Well Built,Dry,Brown,"Dry,Rough",Pinkish,Normal,Blackish,"Large,White",Slow,Restless,Good Memory,Less,Dislike Heat,Calm,Changes Slowly,Improper Chewing,Sudden and Sharp,Normal,Weak,"Jealous,Fearful",Low,Deep,Sky,Introvert,Mild,Kapha
Medium,Greasy,Black,"Moist,Greasy",Pinkish,Underweight,Redish,"Large,White",Medium,Restless,Short term,Moderate,Dislike Heat,Calm,Changes Quickly,Proper Chewing,Skips Meal,Normal,Weak,"Egoistic,Fearless",Low,Deep,Water,Ambivert,Negligible,Pitta
Well Built,Normal,Grey,"Soft,Sweating",Pinkish,Normal,Pinkish,"Irregular,Blackish",Slow,Restless,Long Term,Less,Dislike Heat,Calm,Changes Slowly,Proper Chewing,Sudden and Sharp,Less than Normal,Weak,"Egoistic,Fearless",High,Fast,Sky,Extrovert,Strong,Kapha
Thin and Lean,Dry,Grey,"Soft,Sweating",Dark,Underweight,Redish,"Large,White",Fast,Aggressive,Short term,Less,Dislike Heat,Anger,Changes Slowly,Irregular Chewing,Skips Meal,More than Normal,Healthy,"Jealous,Fearful",Low,Fast,Fire,Extrovert,Strong,Pitta
Well Built,Dry,Grey,"Dry,Rough",Glowing,Underweight,Blackish,"Large,White",Fast,Restless,Short term,Less,Dislike Moist,Calm,Changes Quickly,Irregular Chewing,Irregular,Less than Normal,Heavy,"Jealous,Fearful",High,Rough,Fire,Introvert,Mild,Vata
Medium,Normal,Black,"Moist,Greasy",Glowing,Underweight,Blackish,"Irregular,Blackish",Medium,Stable,Good Memory,Moderate,Dislike Heat,Anger,Changes Slowly,Proper Chewing,Sudden and Sharp,Normal,Heavy,"Forgiving,Grateful",Low,Fast,Sky,Introvert,Strong,Vata
Medium,Greasy,Black,"Dry,Rough",Dark,Normal,Redish,"Medium,Yellowish",Slow,Stable,Short term,Less,Dislike Moist,Anxiety,Changes Quickly,Irregular Chewing,Irregular,More than Normal,Healthy,"Egoistic,Fearless",Low,Rough,Water,Ambivert,Negligible,Vata
Thin and Lean,Dry,Black,"Soft,Sweating",Glowing,Overweight,Redish,"Medium,Yellowish",Medium,Stable,Long Term,Moderate,Dislike Moist,Anxiety,Changes Slowly,Proper Chewing,Sudden and Sharp,More than Normal,Healthy,"Jealous,Fearful",Medium,Deep,Water,Extrovert,Strong,Kapha
Medium,Normal,Brown,"Moist,Greasy",Glowing,Underweight,Redish,"Large,White",Fast,Aggressive,Long Term,Sleepy,Dislike Heat,Calm,Changes Quickly,Improper Chewing,Skips Meal,Less than Normal,Weak,"Jealous,Fearful",Low,Rough,Water,Ambivert,Mild,Pitta
Medium,Normal,Brown,"Soft,Sweating",Glowing,Underweight,Blackish,"Large,White",Medium,Stable,Long Term,Moderate,Dislike Cold,Anger,Changes Slowly,Irregular Chewing,Sudden and Sharp,More than Normal,Weak,"Egoistic,Fearless",Medium,Deep,Fire,Extrovert,Negligible,Pitta
Well Built,Normal,Black,"Moist,Greasy",Dark,Normal,Blackish,"Large,White",Medium,Restless,Short term,Less,Dislike Heat,Anxiety,Changes Quickly,Improper Chewing,Sudden and Sharp,Less than Normal,Healthy,"Jealous,Fearful",Medium,Deep,Sky,Introvert,Strong,Pitta
Medium,Greasy,Black,"Moist,Greasy",Glowing,Overweight,Pinkish,"Large,White",Fast,Stable,Short term,Moderate,Dislike Moist,Anxiety,Changes Slowly,Improper Chewing,Skips Meal,Normal,Heavy,"Forgiving,Grateful",Medium,Fast,Fire,Extrovert,Strong,Pitta
Medium,Greasy,Grey,"Dry,Rough",Dark,Overweight,Blackish,"Large,White",Medium,Restless,Good Memory,Sleepy,Dislike Moist,Anxiety,Constant,Improper Chewing,Irregular,Less than Normal,Weak,"Jealous,Fearful",Medium,Rough,Water,Introvert,Negligible,Pitta
Thin and Lean,Normal,Black,"Moist,Greasy",Pinkish,Normal,Redish,"Medium,Yellowish",Slow,Stable,Good Memory,Less,Dislike Cold,Anxiety,Changes Slowly,Proper Chewing,Sudden and Sharp,More than Normal,Heavy,"Egoistic,Fearless",Medium,Fast,Sky,Extrovert,Mild,Kapha
Medium,Dry,Brown,"Soft,Sweating",Glowing,Underweight,Redish,"Medium,Yellowish",Slow,Aggressive,Short term,Less,Dislike Heat,Anger,Changes Quickly,Improper Chewing,Sudden and Sharp,More than Normal,Heavy,"Egoistic,Fearless",High,Fast,Fire,Extrovert,Negligible,Kapha
Medium,Normal,Black,"Soft,Sweating",Glowing,Overweight,Redish,"Large,White",Slow,Stable,Good Memory,Less,Dislike Heat,Anger,Changes Quickly,Proper Chewing,Irregular,Less than Normal,Healthy,"Egoistic,Fearless",Medium,Deep,Fire,Ambivert,Strong,Kapha
Thin and Lean,Dry,Brown,"Soft,Sweating",Dark,Underweight,Blackish,"Large,White",Medium,Stable,Good Memory,Less,Dislike Cold,Calm,Changes Slowly,Irregular Chewing,Irregular,Less than Normal,Healthy,"Jealous,Fearful",High,Deep,Water,Introvert,Negligible,Vata
Medium,Greasy,Grey,"Dry,Rough",Glowing,Normal,Pinkish,"Medium,Yellowish",Slow,Aggressive,Good Memory,Moderate,Dislike Moist,Anger,Changes Quickly,Irregular Chewing,Irregular,Less than Normal,Healthy,"Jealous,Fearful",Medium,Rough,Water,Introvert,Mild,Kapha
Medium,Normal,Black,"Soft,Sweating",Glowing,Normal,Redish,"Irregular,Blackish",Medium,Restless,Good Memory,Less,Dislike Moist,Calm,Changes Slowly,Proper Chewing,Irregular,Normal,Healthy,"Forgiving,Grateful",High,Fast,Water,Ambivert,Negligible,Pitta
Medium,Normal,Black,"Soft,Sweating",Glowing,Underweight,Blackish,"Medium,Yellowish",Fast,Aggressive,Long Term,Less,Dislike Heat,Anger,Changes Slowly,Irregular Chewing,Sudden and Sharp,Normal,Heavy,"Egoistic,Fearless",High,Rough,Fire,Extrovert,Strong,Kapha
Medium,Normal,Black,"Dry,Rough",Glowing,Underweight,Pinkish,"Large,White",Fast,Stable,Long Term,Less,Dislike Cold,Anger,Constant,Improper Chewing,Sudden and Sharp,More than Normal,Healthy,"Jealous,Fearful",High,Rough,Water,Ambivert,Strong,Vata
Well Built,Dry,Brown,"Dry,Rough",Glowing,Normal,Redish,"Irregular,Blackish",Fast,Stable,Long Term,Moderate,Dislike Moist,Calm,Changes Quickly,Proper Chewing,Skips Meal,Less than Normal,Heavy,"Forgiving,Grateful",High,Rough,Water,Extrovert,Mild,Vata
Thin and Lean,Normal,Grey,"Moist,Greasy",Glowing,Overweight,Pinkish,"Medium,Yellowish",Medium,Stable,Long Term,Sleepy,Dislike Moist,Calm,Changes Slowly,Improper Chewing,Irregular,Less than Normal,Heavy,"Egoistic,Fearless",Low,Rough,Water,Ambivert,Mild,Kapha
Well Built,Greasy,Brown,"Dry,Rough",Pinkish,Overweight,Redish,"Large,White",Medium,Stable,Long Term,Moderate,Dislike Cold,Anxiety,Changes Quickly,Improper Chewing,Irregular,Less than Normal,Heavy,"Egoistic,Fearless",High,Rough,Fire,Ambivert,Negligible,Kapha
Thin and Lean,Normal,Grey,"Soft,Sweating",Glowing,Normal,Pinkish,"Medium,Yellowish",Medium,Restless,Good Memory,Moderate,Dislike Heat,Calm,Changes Quickly,Proper Chewing,Skips Meal,More than Normal,Healthy,"Jealous,Fearful",Medium,Deep,Water,Extrovert,Strong,Pitta
Medium,Greasy,Brown,"Moist,Greasy",Glowing,Normal,Redish,"Large,White",Slow,Aggressive,Good Memory,Moderate,Dislike Moist,Anxiety,Changes Quickly,Improper Chewing,Irregular,Less than Normal,Healthy,"Jealous,Fearful",Low,Fast,Fire,Introvert,Negligible,Pitta
Medium,Dry,Brown,"Soft,Sweating",Dark,Underweight,Blackish,"Medium,Yellowish",Medium,Aggressive,Short term,Moderate,Dislike Heat,Anxiety,Changes Quickly,Proper Chewing,Skips Meal,More than Normal,Weak,"Jealous,Fearful",High,Fast,Water,Ambivert,Strong,Pitta
Well Built,Greasy,Black,"Soft,Sweating",Pinkish,Underweight,Redish,"Irregular,Blackish",Medium,Aggressive,Long Term,Sleepy,Dislike Cold,Anger,Changes Quickly,Proper Chewing,Irregular,Normal,Healthy,"Jealous,Fearful",Low,Fast,Fire,Extrovert,Negligible,Pitta
Thin and Lean,Greasy,Brown,"Moist,Greasy",Glowing,Normal,Redish,"Medium,Yellowish",Fast,Stable,Short term,Moderate,Dislike Cold,Calm,Changes Quickly,Proper Chewing,Skips Meal,Less than Normal,Healthy,"Jealous,Fearful",Low,Fast,Water,Introvert,Mild,Pitta
Medium,Greasy,Black,"Moist,Greasy",Pinkish,Normal,Redish,"Large,White",Fast,Stable,Good Memory,Sleepy,Dislike Cold,Anxiety,Changes Slowly,Improper Chewing,Sudden and Sharp,More than Normal,Heavy,"Jealous,Fearful",High,Rough,Water,Extrovert,Negligible,Kapha
Medium,Dry,Black,"Moist,Greasy",Glowing,Underweight,Redish,"Medium,Yellowish",Fast,Restless,Short term,Sleepy,Dislike Heat,Calm,Changes Quickly,Irregular Chewing,Sudden and Sharp,More than Normal,Heavy,"Egoistic,Fearless",Medium,Deep,Fire,Ambivert,Mild,Pitta
Medium,Dry,Grey,"Dry,Rough",Glowing,Underweight,Blackish,"Large,White",Fast,Restless,Long Term,Sleepy,Dislike Heat,Calm,Constant,Improper Chewing,Sudden and Sharp,Less than Normal,Weak,"Forgiving,Grateful",Medium,Deep,Water,Ambivert,Negligible,Pitta
Thin and Lean,Greasy,Brown,"Dry,Rough",Pinkish,Normal,Pinkish,"Irregular,Blackish",Medium,Restless,Short term,Less,Dislike Cold,Anxiety,Changes Quickly,Proper Chewing,Irregular,Less than Normal,Heavy,"Jealous,Fearful",Medium,Deep,Sky,Extrovert,Strong,Kapha
Medium,Normal,Brown,"Soft,Sweating",Glowing,Normal,Redish,"Irregular,Blackish",Slow,Aggressive,Long Term,Moderate,Dislike Heat,Anger,Changes Slowly,Irregular Chewing,Sudden and Sharp,Normal,Weak,"Jealous,Fearful",High,Rough,Fire,Introvert,Strong,Kapha
Well Built,Greasy,Brown,"Dry,Rough",Pinkish,Underweight,Blackish,"Irregular,Blackish",Fast,Aggressive,Long Term,Sleepy,Dislike Cold,Calm,Constant,Improper Chewing,Sudden and Sharp,Less than Normal,Healthy,"Jealous,Fearful",High,Deep,Water,Ambivert,Strong,Kapha
Thin and Lean,Normal,Grey,"Moist,Greasy",Glowing,Normal,Redish,"Medium,Yellowish",Slow,Restless,Good Memory,Moderate,Dislike Heat,Anger,Changes Slowly,Improper Chewing,Irregular,Less than Normal,Heavy,"Egoistic,Fearless",Medium,Rough,Fire,Introvert,Negligible,Kapha
Medium,Dry,Grey,"Soft,Sweating",Glowing,Underweight,Pinkish,"Medium,Yellowish",Slow,Stable,Long Term,Less,Dislike Moist,Anxiety,Changes Quickly,Irregular Chewing,Sudden and Sharp,More than Normal,Weak,"Jealous,Fearful",High,Deep,Sky,Introvert,Strong,Kapha
Medium,Normal,Black,"Dry,Rough",Pinkish,Underweight,Redish,"Large,White",Fast,Aggressive,Good Memory,Moderate,Dislike Heat,Anger,Changes Quickly,Improper Chewing,Skips Meal,More than Normal,Weak,"Egoistic,Fearless",Low,Rough,Water,Extrovert,Strong,Pitta
Medium,Greasy,Brown,"Soft,Sweating",Pinkish,Overweight,Pinkish,"Large,White",Fast,Restless,Long Term,Less,Dislike Heat,Anger,Constant,Proper Chewing,Sudden and Sharp,Normal,Heavy,"Egoistic,Fearless",Medium,Fast,Sky,Introvert,Negligible,Pitta
Well Built,Normal,Grey,"Soft,Sweating",Glowing,Underweight,Redish,"Large,White",Slow,Stable,Short term,Sleepy,Dislike Cold,Anxiety,Constant,Improper Chewing,Sudden and Sharp,More than Normal,Heavy,"Forgiving,Grateful",Low,Rough,Water,Ambivert,Strong,Kapha
Well Built,Dry,Grey,"Dry,Rough",Dark,Normal,Pinkish,"Medium,Yellowish",Slow,Aggressive,Short term,Less,Dislike Cold,Anxiety,Changes Quickly,Irregular Chewing,Irregular,More than Normal,Weak,"Egoistic,Fearless",Low,Deep,Fire,Ambivert,Negligible,Vata
Thin and Lean,Greasy,Brown,"Moist,Greasy",Pinkish,Underweight,Blackish,"Irregular,Blackish",Fast,Aggressive,Long Term,Sleepy,Dislike Moist,Calm,Constant,Irregular Chewing,Irregular,Less than Normal,Healthy,"Jealous,Fearful",Medium,Fast,Sky,Ambivert,Mild,Pitta
Medium,Greasy,Grey,"Dry,Rough",Dark,Overweight,Redish,"Medium,Yellowish",Slow,Restless,Long Term,Moderate,Dislike Moist,Anxiety,Constant,Proper Chewing,Irregular,Normal,Weak,"Forgiving,Grateful",Low,Fast,Fire,Extrovert,Strong,Kapha
Medium,Greasy,Black,"Dry,Rough",Dark,Overweight,Pinkish,"Irregular,Blackish",Slow,Restless,Long Term,Moderate,Dislike Heat,Calm,Changes Quickly,Improper Chewing,Irregular,Less than Normal,Weak,"Egoistic,Fearless",High,Deep,Water,Ambivert,Negligible,Kapha
Well Built,Normal,Grey,"Moist,Greasy",Pinkish,Overweight,Blackish,"Irregular,Blackish",Medium,Stable,Good Memory,Less,Dislike Moist,Calm,Changes Slowly,Proper Chewing,Skips Meal,Less than Normal,Heavy,"Egoistic,Fearless",Low,Rough,Water,Extrovert,Mild,Kapha
Thin and Lean,Normal,Black,"Moist,Greasy",Glowing,Overweight,Blackish,"Large,White",Slow,Stable,Good Memory,Sleepy,Dislike Heat,Anxiety,Constant,Irregular Chewing,Irregular,Normal,Healthy,"Jealous,Fearful",High,Rough,Sky,Introvert,Negligible,Kapha
Medium,Greasy,Brown,"Soft,Sweating",Glowing,Overweight,Redish,"Large,White",Fast,Stable,Short term,Sleepy,Dislike Cold,Anxiety,Constant,Proper Chewing,Irregular,Normal,Heavy,"Jealous,Fearful",Low,Rough,Fire,Ambivert,Strong,Kapha
Thin and Lean,Greasy,Black,"Moist,Greasy",Dark,Normal,Pinkish,"Large,White",Slow,Restless,Good Memory,Sleepy,Dislike Heat,Anger,Changes Quickly,Improper Chewing,Sudden and Sharp,Less than Normal,Heavy,"Forgiving,Grateful",Medium,Rough,Water,Extrovert,Strong,Kapha
Medium,Normal,Black,"Soft,Sweating",Pinkish,Underweight,Redish,"Large,White",Medium,Stable,Short term,Moderate,Dislike Moist,Calm,Changes Quickly,Proper Chewing,Skips Meal,Less than Normal,Heavy,"Forgiving,Grateful",Medium,Fast,Water,Introvert,Mild,Pitta
Well Built,Normal,Black,"Moist,Greasy",Glowing,Underweight,Blackish,"Medium,Yellowish",Medium,Restless,Good Memory,Moderate,Dislike Moist,Calm,Changes Quickly,Proper Chewing,Irregular,Normal,Heavy,"Forgiving,Grateful",High,Rough,Fire,Extrovert,Mild,Vata
Medium,Normal,Brown,"Moist,Greasy",Pinkish,Normal,Blackish,"Irregular,Blackish",Fast,Stable,Good Memory,Less,Dislike Heat,Anger,Changes Quickly,Improper Chewing,Skips Meal,More than Normal,Healthy,"Egoistic,Fearless",Medium,Rough,Fire,Ambivert,Strong,Pitta
Thin and Lean,Normal,Black,"Moist,Greasy",Dark,Overweight,Redish,"Large,White",Medium,Aggressive,Short term,Sleepy,Dislike Heat,Anxiety,Constant,Improper Chewing,Sudden and Sharp,Normal,Heavy,"Egoistic,Fearless",Medium,Fast,Fire,Introvert,Negligible,Pitta
Thin and Lean,Dry,Grey,"Soft,Sweating",Pinkish,Underweight,Redish,"Medium,Yellowish",Slow,Stable,Good Memory,Moderate,Dislike Moist,Anger,Changes Slowly,Proper Chewing,Irregular,Normal,Weak,"Egoistic,Fearless",Medium,Rough,Fire,Extrovert,Negligible,Vata
Medium,Normal,Black,"Soft,Sweating",Dark,Underweight,Blackish,"Irregular,Blackish",Medium,Restless,Long Term,Sleepy,Dislike Cold,Calm,Changes Slowly,Proper Chewing,Irregular,Normal,Weak,"Forgiving,Grateful",High,Deep,Sky,Ambivert,Strong,Pitta
Medium,Greasy,Brown,"Soft,Sweating",Glowing,Overweight,Blackish,"Large,White",Fast,Aggressive,Short term,Sleepy,Dislike Cold,Anxiety,Constant,Improper Chewing,Irregular,Normal,Weak,"Forgiving,Grateful",Medium,Deep,Fire,Introvert,Negligible,Pitta
Medium,Greasy,Black,"Moist,Greasy",Dark,Normal,Redish,"Large,White",Fast,Stable,Good Memory,Less,Dislike Moist,Anger,Constant,Improper Chewing,Skips Meal,More than Normal,Heavy,"Forgiving,Grateful",High,Deep,Sky,Ambivert,Mild,Kapha
Medium,Dry,Grey,"Moist,Greasy",Pinkish,Underweight,Blackish,"Large,White",Fast,Restless,Short term,Sleepy,Dislike Cold,Anxiety,Changes Slowly,Irregular Chewing,Irregular,Normal,Healthy,"Forgiving,Grateful",Low,Rough,Fire,Extrovert,Negligible,Vata
Medium,Normal,Brown,"Dry,Rough",Pinkish,Underweight,Redish,"Medium,Yellowish",Slow,Aggressive,Good Memory,Less,Dislike Cold,Calm,Changes Slowly,Proper Chewing,Sudden and Sharp,More than Normal,Heavy,"Egoistic,Fearless",Medium,Deep,Fire,Ambivert,Negligible,Kapha
Well Built,Dry,Black,"Dry,Rough",Dark,Normal,Blackish,"Medium,Yellowish",Medium,Restless,Long Term,Moderate,Dislike Heat,Anger,Constant,Proper Chewing,Irregular,Less than Normal,Weak,"Jealous,Fearful",High,Rough,Water,Extrovert,Strong,Vata
Medium,Normal,Grey,"Soft,Sweating",Pinkish,Underweight,Blackish,"Irregular,Blackish",Slow,Restless,Good Memory,Less,Dislike Heat,Anger,Constant,Improper Chewing,Irregular,Normal,Heavy,"Jealous,Fearful",Low,Rough,Fire,Ambivert,Mild,Kapha
Well Built,Dry,Black,"Soft,Sweating",Glowing,Underweight,Blackish,"Irregular,Blackish",Medium,Aggressive,Short term,Sleepy,Dislike Moist,Anger,Changes Quickly,Proper Chewing,Irregular,Less than Normal,Weak,"Egoistic,Fearless",Low,Rough,Sky,Introvert,Negligible,Vata
Thin and Lean,Greasy,Grey,"Moist,Greasy",Pinkish,Underweight,Pinkish,"Irregular,Blackish",Slow,Restless,Long Term,Moderate,Dislike Heat,Anxiety,Changes Quickly,Proper Chewing,Sudden and Sharp,Less than Normal,Heavy,"Egoistic,Fearless",Medium,Deep,Sky,Introvert,Mild,Kapha
Medium,Normal,Grey,"Moist,Greasy",Glowing,Normal,Redish,"Medium,Yellowish",Fast,Stable,Long Term,Sleepy,Dislike Heat,Anxiety,Changes Slowly,Proper Chewing,Skips Meal,Less than Normal,Weak,"Jealous,Fearful",Medium,Fast,Sky,Ambivert,Negligible,Pitta
Well Built,Dry,Brown,"Soft,Sweating",Glowing,Underweight,Redish,"Irregular,Blackish",Medium,Stable,Long Term,Less,Dislike Moist,Anxiety,Changes Quickly,Irregular Chewing,Skips Meal,Normal,Heavy,"Forgiving,Grateful",Low,Deep,Sky,Introvert,Mild,Kapha
Well Built,Dry,Grey,"Dry,Rough",Glowing,Overweight,Redish,"Irregular,Blackish",Slow,Aggressive,Long Term,Less,Dislike Cold,Anger,Changes Quickly,Proper Chewing,Sudden and Sharp,Less than Normal,Healthy,"Egoistic,Fearless",Medium,Fast,Fire,Ambivert,Negligible,Pitta
Well Built,Dry,Black,"Dry,Rough",Dark,Normal,Pinkish,"Irregular,Blackish",Slow,Restless,Short term,Moderate,Dislike Cold,Anxiety,Changes Slowly,Improper Chewing,Skips Meal,Less than Normal,Heavy,"Egoistic,Fearless",High,Rough,Sky,Introvert,Strong,Kapha
Thin and Lean,Normal,Brown,"Dry,Rough",Pinkish,Overweight,Blackish,"Large,White",Medium,Restless,Long Term,Sleepy,Dislike Moist,Calm,Changes Slowly,Irregular Chewing,Skips Meal,Normal,Heavy,"Forgiving,Grateful",Low,Deep,Water,Introvert,Mild,Vata
Well Built,Dry,Black,"Soft,Sweating",Pinkish,Underweight,Redish,"Irregular,Blackish",Fast,Restless,Long Term,Sleepy,Dislike Heat,Anger,Constant,Proper Chewing,Irregular,More than Normal,Weak,"Egoistic,Fearless",High,Fast,Water,Extrovert,Strong,Vata
Medium,Dry,Black,"Dry,Rough",Dark,Overweight,Pinkish,"Medium,Yellowish",Slow,Stable,Good Memory,Less,Dislike Cold,Anger,Constant,Improper Chewing,Irregular,Normal,Healthy,"Forgiving,Grateful",Low,Deep,Water,Ambivert,Mild,Vata
Medium,Greasy,Brown,"Soft,Sweating",Dark,Normal,Pinkish,"Large,White",Medium,Stable,Short term,Less,Dislike Moist,Calm,Changes Slowly,Proper Chewing,Sudden and Sharp,Normal,Healthy,"Forgiving,Grateful",Low,Deep,Fire,Introvert,Strong,Vata
Well Built,Dry,Grey,"Moist,Greasy",Pinkish,Underweight,Pinkish,"Large,White",Medium,Aggressive,Long Term,Sleepy,Dislike Moist,Anxiety,Changes Slowly,Proper Chewing,Sudden and Sharp,Normal,Healthy,"Forgiving,Grateful",Medium,Rough,Sky,Introvert,Strong,Kapha
Medium,Normal,Black,"Moist,Greasy",Glowing,Overweight,Redish,"Irregular,Blackish",Medium,Stable,Good Memory,Moderate,Dislike Cold,Anxiety,Constant,Improper Chewing,Irregular,Less than Normal,Healthy,"Jealous,Fearful",Low,Deep,Fire,Introvert,Negligible,Pitta
Medium,Normal,Brown,"Soft,Sweating",Pinkish,Overweight,Redish,"Large,White",Slow,Restless,Good Memory,Less,Dislike Heat,Anger,Changes Slowly,Improper Chewing,Sudden and Sharp,Less than Normal,Healthy,"Egoistic,Fearless",Low,Fast,Sky,Extrovert,Mild,Pitta
Thin and Lean,Greasy,Brown,"Dry,Rough",Pinkish,Underweight,Blackish,"Large,White",Slow,Restless,Long Term,Moderate,Dislike Moist,Anger,Changes Quickly,Improper Chewing,Sudden and Sharp,Less than Normal,Weak,"Egoistic,Fearless",Low,Fast,Fire,Extrovert,Mild,Kapha
Well Built,Dry,Brown,"Dry,Rough",Pinkish,Underweight,Redish,"Large,White",Slow,Aggressive,Short term,Sleepy,Dislike Moist,Calm,Constant,Improper Chewing,Skips Meal,Normal,Weak,"Forgiving,Grateful",Low,Rough,Sky,Introvert,Mild,Vata
Well Built,Normal,Grey,"Moist,Greasy",Pinkish,Overweight,Blackish,"Irregular,Blackish",Fast,Stable,Short term,Less,Dislike Heat,Calm,Constant,Improper Chewing,Irregular,Less than Normal,Weak,"Egoistic,Fearless",Medium,Deep,Water,Extrovert,Mild,Pitta
Well Built,Dry,Grey,"Moist,Greasy",Glowing,Overweight,Pinkish,"Medium,Yellowish",Fast,Restless,Short term,Sleepy,Dislike Moist,Anger,Changes Quickly,Improper Chewing,Irregular,Normal,Heavy,"Egoistic,Fearless",High,Fast,Fire,Ambivert,Mild,Vata
